position_action,angle_action,gripper_position,gripper_angle,gripper_velocity,gripper_angular_velocity,target_position,target_angle,target_velocity,target_angular_velocity,closest_point,contact_force,rewards,finger1_angles,finger2_angles,finger3_angles,finger1_min_dists,finger2_min_dists,finger3_min_dists,num_contact_points,fingertip_num_contact_points,accumulated_contact_force,totalLateralFrictionForce,finger1_link1_world_angles,finger1_link2_world_angles,finger1_link3_world_angles
[-0.761927   0.9679884  0.9632312],[0.08108222 0.99175906 0.7776027 ],[-0.00152385  0.00193598  1.00192642],[0.00177602 0.01982122 0.01620727],[-0.36572483  0.46463442  0.46235049],[0.38611934 4.76068544 3.73249674],[-0.06161016  0.64422035  1.36531377],[ 0.01102701  0.00706561 -0.05832775],[-0.02416266  0.01986313  0.04761441],[ 0.02105316  0.00066929 -0.01045959],[ 0.00200577 -0.49408104 -0.28288013],0,1.4894684063109724,[-4.51285488e-07 -1.12936312e-06  1.79453891e-07],[ 3.25947281e-08  1.08369749e-06 -3.78473761e-07],[ 3.63280932e-07 -8.58592274e-08 -9.31833631e-08],[0.6031672  0.59191973 0.56626957],[0.60329143 0.59215618 0.56657497],[0.49842611 0.47557589 0.45294816],0,[0 0 0],0,[0 0 0],[1.57079646 0.52079668 1.57064449],[1.57079646 0.52079682 1.57064449],[1.57079644e+00 7.96180991e-04 1.57064443e+00]
[-0.8567835  0.975773   0.9200808],[ 0.27965117  0.983984   -0.24556136],[-0.00323742  0.00388752  1.00376666],[0.0073214  0.03951564 0.01135902],[-0.41125616  0.46837088  0.44163859],[ 1.26505506  4.74454021 -1.20301831],[-0.0560741   0.64785582  1.35517728],[-0.02320688 -0.01154931 -0.00542655],[-0.0164906   0.03807066  0.05860367],[-0.00146654 -0.01612009 -0.01862548],[ 6.93889390e-18 -4.93537233e-01 -2.78707229e-01],0,1.4753341879185675,[-1.16483991e-06 -1.19497721e-06  7.60935253e-09],[ 3.25947281e-08 -7.66180917e-08 -1.23747914e-08],[ 9.87742569e-07 -3.27967664e-07 -5.81562182e-08],[0.59921821 0.58770015 0.56211641],[0.60055109 0.5891886  0.56370372],[0.49621318 0.47337668 0.45046042],0,[0 0 0],0,[0 0 0],[1.59362538 0.51892529 1.59753795],[1.59362538 0.51892511 1.59753795],[ 1.59061959e+00 -9.63863748e-04  1.58619535e+00]
[-0.8311914   0.98499036  0.9742675 ],[0.40574288 0.9900929  0.6890304 ],[-0.0048998   0.0058575   1.00571513],[0.01556809 0.05927964 0.02517286],[-0.39897195  0.47279522  0.46764815],[1.88987255 4.77868605 3.21746492],[-0.05151583  0.64391106  1.35381377],[ 0.00598629 -0.00168133  0.01108855],[-0.01961164  0.03836738  0.02847582],[-0.01400297  0.00228383  0.01645662],[-6.93889390e-18 -4.92627304e-01 -2.75825859e-01],0,1.4526042454254209,[-1.12281008e-06 -1.25906052e-06  2.04711834e-07],[ 3.25947281e-08 -1.20124931e-06  4.32288963e-07],[ 9.79021664e-07 -3.66934629e-07 -2.29161473e-08],[0.59561003 0.5837056  0.55793967],[0.59714749 0.58550251 0.55990268],[0.49408339 0.4712544  0.44791422],0,[0 0 0],0,[0 0 0],[1.61616292 0.51306813 1.60364569],[1.61616292 0.51306813 1.60364569],[ 1.6103192  -0.0064888   1.58110919]
[-0.60026824  0.97270656  0.9804156 ],[0.41265476 0.9872818  0.48458767],[-0.00610034  0.00780292  1.00767601],[0.02390457 0.07899888 0.03489538],[-0.28812873  0.46689919  0.47059953],[1.85299528 4.79041004 2.19509268],[-0.05620951  0.64594519  1.34464657],[0.01379888 0.0227492  0.0001012 ],[-0.02433159  0.03402388  0.04121288],[-0.00837191 -0.01002406  0.00347145],[ 6.93889390e-18 -4.91580196e-01 -2.72955000e-01],0,1.4311736018584797,[-2.17622625e-06 -1.24007821e-06  9.21839793e-08],[ 3.25947281e-08 -8.36681568e-07  6.23030208e-07],[ 1.99049683e-06 -6.48490312e-07 -3.39723560e-08],[0.59184889 0.57955758 0.55364143],[0.5938043  0.58186405 0.55617376],[0.49195888 0.46914312 0.44539894],0,[0 0 0],0,[0 0 0],[1.63853186 0.50430561 1.62794712],[1.63853185 0.50430541 1.62794711],[ 1.63009529 -0.01469906  1.59430629]
[-0.7250031  0.9819671  0.958253 ],[ 0.41383302  0.98875403 -0.00290531],[-0.00755035  0.00976685  1.00959253],[0.03216472 0.09877399 0.03491813],[-0.34800145  0.47134423  0.45996153],[ 1.80780423  4.81202221 -0.17052297],[-0.06618799  0.64324361  1.37029815],[ 0.01256093 -0.02314333 -0.00654842],[-0.02942585  0.03358125  0.05481941],[-0.02197884 -0.00359198 -0.01566362],[-6.93889390e-18 -4.90154386e-01 -2.70156807e-01],0,1.4133967500352635,[-3.08084369e-06 -1.21024671e-06  1.68121468e-07],[ 3.25947281e-08 -2.86688958e-07  6.86985423e-07],[ 2.89573666e-06 -1.01867725e-06 -5.04118714e-08],[0.58767641 0.5750038  0.54902401],[0.59057017 0.57831187 0.55259771],[0.48981651 0.46701558 0.44291321],0,[0 0 0],0,[0 0 0],[1.66063336 0.49526606 1.64768607],[1.66063336 0.49526597 1.64768606],[ 1.64983558 -0.02297387  1.60308103]
[-0.83412445  0.96512735  0.958447  ],[0.25889766 0.96972895 0.40679002],[-0.00921859  0.0116971   1.01150942],[0.03738955 0.1181637  0.04303293],[-0.40037978  0.46326095  0.46005473],[1.06433952 4.69857168 1.81173456],[-0.04922297  0.65108973  1.35079527],[-0.01152072 -0.0106473  -0.01281472],[-0.03349002  0.03539385  0.03628168],[-0.00920695 -0.0078276   0.0069702 ],[ 0.         -0.48887924 -0.26754492],0,1.393937896221395,[-2.46203932e-06 -7.81298942e-07  1.32107006e-07],[-4.36732109e-08 -2.30231815e-07  6.88383331e-07],[ 2.85745139e-06 -8.14941799e-07 -1.16914127e-07],[0.58426245 0.57130959 0.54527268],[0.58763883 0.5751944  0.54947265],[0.48761738 0.46482009 0.44048409],0,[0 0 0],0,[0 0 0],[1.68259293 0.48612269 1.65732424],[1.68259292 0.48612252 1.65732422],[ 1.66964437 -0.03113759  1.60183459]
[-0.81861454  0.9704019   0.9535346 ],[0.1873529  0.9054626  0.06682813],[-0.01085582  0.01363791  1.01341641],[0.04111984 0.13627101 0.04438873],[-0.39293498  0.46579289  0.45769659],[0.69730055 4.380404   0.21179582],[-0.09681313  0.65930039  1.3498435 ],[0.01753719 0.02652169 0.00068814],[-0.03014585  0.01790468  0.06516249],[ 0.01342567  0.01985117 -0.00922269],[-2.08166817e-17 -4.87277887e-01 -2.65078751e-01],0,1.3783853730216094,[-1.91823577e-06 -7.64222749e-07  1.02969940e-06],[-4.36732109e-08  7.83105951e-08  6.58196159e-07],[ 2.62191174e-06 -5.32146798e-07 -1.23953497e-07],[0.58074593 0.56757058 0.54156033],[0.58490443 0.57230776 0.54664475],[0.48535397 0.46256641 0.43805538],0,[0 0 0],0,[0 0 0],[1.70412207 0.47984383 1.67487225],[1.70412206 0.4798437  1.67487223],[ 1.68906816 -0.03624486  1.60872943]
[-0.8463348  0.9756744  0.9789398],[0.07469916 0.90286016 0.06377256],[-0.01254849  0.01558926  1.0153743 ],[0.04259061 0.15432788 0.04566131],[-0.40624076  0.46832359  0.46989143],[0.15386157 4.34497881 0.2543022 ],[-0.05174836  0.64954638  1.35906637],[ 0.00092702  0.01599976 -0.01286007],[-0.04262012  0.0386114   0.04901723],[-0.00095044 -0.00976356 -0.00842948],[-1.38777878e-17 -4.85540594e-01 -2.62692337e-01],0,1.3635006153282854,[-1.53292837e-06 -1.08717612e-07  8.95562013e-07],[6.20675946e-08 1.36947895e-08 7.10509996e-07],[ 2.63257671e-06 -4.25717439e-07 -1.35460361e-07],[0.57743706 0.56411999 0.53816367],[0.58237685 0.56970596 0.54412769],[0.48297535 0.46019775 0.43560623],0,[0 0 0],0,[0 0 0],[1.72419287 0.47496713 1.68497702],[1.72419279 0.47496612 1.68497684],[ 1.7072093  -0.03984221  1.60892193]
[-0.83691794  0.9717145   0.95800984],[ 0.2152543  0.9346411 -0.2366032],[-0.01422233  0.01753268  1.01729035],[0.04683705 0.17303894 0.04102948],[-0.40172073  0.46642283  0.45984444],[ 0.81000435  4.53000593 -1.27768016],[-0.06791852  0.67153662  1.35656619],[-0.04415829 -0.00793227 -0.00753595],[-0.03013906  0.0465915   0.04228029],[-0.01904376  0.01463121 -0.00117686],[-2.08166817e-17 -4.83771229e-01 -2.60216107e-01],0,1.3487330718851958,[-2.04174352e-06 -1.94215667e-07  8.08631822e-07],[ 6.20675946e-08 -1.49893587e-06  1.18002005e-06],[ 3.07342439e-06 -6.20194590e-07 -8.93663297e-08],[0.57351586 0.5599398  0.53402096],[0.57957908 0.5667001  0.54118528],[0.48078002 0.45802481 0.43322884],0,[0 0 0],0,[0 0 0],[1.74430543 0.47217483 1.69520942],[1.74430535 0.47217395 1.69520925],[ 1.7252904  -0.04117589  1.60924929]
[-0.8866729  0.9584414  0.9868927],[0.03649938 0.79066753 0.43707037],[-0.01599568  0.01944957  1.0192641 ],[0.04758991 0.18888107 0.04966697],[-0.42560303  0.46005172  0.47370869],[0.00519723 3.80627036 2.04043317],[-0.06950507  0.64061427  1.34821141],[-0.0279155   0.02513432 -0.01419224],[-0.03884577  0.0314722   0.04163248],[ 0.00439809  0.01120263 -0.01434885],[ 0.         -0.48225692 -0.25795031],0,1.3341140889475365,[-1.63424509e-06  4.36410628e-07  7.02441635e-07],[-1.15983004e-07 -1.19975612e-06  1.02760986e-06],[ 3.10073393e-06 -4.96155672e-07 -1.15230880e-07],[0.57074468 0.55706048 0.53113945],[0.57708339 0.56417616 0.53870997],[0.47839021 0.4556351  0.43079585],0,[0 0 0],0,[0 0 0],[1.76482287 0.46644781 1.69916546],[1.76482279 0.46644702 1.69916528],[ 1.74405167 -0.04521668  1.60311527]
